song_title,artist,album,release_year,artist_genres,artist_popularity,artist_followers,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,custom_mood_tags,listener_context,embedding_text,archetype,spotify_url,seed_query,weak_label
Night Drive (Slowed + Reverb),Wilee,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Night Drive (Slowed + Reverb) | Wilee | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/331H6137RMXrWPqdoinXfA,night drive,yes
Nightcall,Kavinsky,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Nightcall | Kavinsky | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/0U0ldCRmgCqhVvD6ksG63j,night drive,yes
Night Drive,RUBII,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Night Drive | RUBII | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/74fnS63JH0L2vIan7siS9X,night drive,yes
night drive (200mph),arya x,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night drive (200mph) | arya x | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/7egk4i5HeWIUxdpqRXhy3V,night drive,yes
Night Drive,The All-American Rejects,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Night Drive | The All-American Rejects | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/16wNgHgjk7anQGpx39dPpt,night drive,yes
night drive,Night...,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night drive | Night... | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/0kjKHSO0zt2EceQJdYKr1y,night drive,yes
Night Drive,Brother Firetribe,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Night Drive | Brother Firetribe | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1EnszoyKk67dQLK3olWlt4,night drive,yes
Night Drive,Part Time,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Night Drive | Part Time | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/6c8pVKT7KBUzp6fYNDFqlL,night drive,yes
Nattbuss,"Fricky, The Desktoppers",,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,"Nattbuss | Fricky, The Desktoppers | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist",night-drive existentialist,https://open.spotify.com/track/6Nh66ug74gdMfr6PA6DUXQ,night drive,yes
worry - ultra slowed,"LONOWN, riserayss",,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,"worry - ultra slowed | LONOWN, riserayss | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist",night-drive existentialist,https://open.spotify.com/track/18j6GCxt5aFKbYqdvksL7N,dark electronic,yes
Darkside,"Alan Walker, Au/Ra, Tomine Harket",,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,"Darkside | Alan Walker, Au/Ra, Tomine Harket | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist",night-drive existentialist,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X,dark electronic,yes
Little Dark Age,MGMT,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Little Dark Age | MGMT | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,dark electronic,yes
Darkside,"Alan Walker, Au/Ra, Tomine Harket",,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,"Darkside | Alan Walker, Au/Ra, Tomine Harket | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist",night-drive existentialist,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG,dark electronic,yes
DARKNESS (POWER),PLUS+,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,DARKNESS (POWER) | PLUS+ | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/0lGuJREQC4uMpS0n6SRgFv,dark electronic,yes
Fade Into Darkness - Vocal Radio Mix,Avicii,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Fade Into Darkness - Vocal Radio Mix | Avicii | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/5kwAIpUBwhmiBpsJlcMgO1,dark electronic,yes
Dark Beach,Pastel Ghost,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Dark Beach | Pastel Ghost | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/7fqjWHXf330QwnfaAWB2Dr,dark electronic,yes
Dark River - Bonus Track,Sebastian Ingrosso,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Dark River - Bonus Track | Sebastian Ingrosso | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1EYFgYzq3fJGDdEtVMsATh,dark electronic,yes
Dark Side of the Moon,suisside,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Dark Side of the Moon | suisside | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/4oWZBcaBfx5wVZokxljMvU,dark electronic,yes
La Dolce Vita,After Dark,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,La Dolce Vita | After Dark | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1b5yFVBwIbjKI2TULxtDoC,after dark,yes
After Dark - Slowed Remix,xholder,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark - Slowed Remix | xholder | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1cQ20lPxn80HPkA9qIX5pX,after dark,yes
After Dark x Sweater Weather,mikeeysmind,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark x Sweater Weather | mikeeysmind | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/0lISuB4J7JO7hP7Hd5QUoP,after dark,yes
After Dark x Sweater Weather,mikeeysmind,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark x Sweater Weather | mikeeysmind | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/3RnaEjqlmhWxj9cdNMo8lT,after dark,yes
(Åh) När ni tar saken i egna händer,After Dark,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,(Åh) När ni tar saken i egna händer | After Dark | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/4WXnFwrGkrGYzwCImeuob6,after dark,yes
After Dark,Noah Rinker,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark | Noah Rinker | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/4IC6lmN30FLj7hRGAo9qom,after dark,yes
After Dark x Sweater Weather,mikeeysmind,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark x Sweater Weather | mikeeysmind | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/05WC9MzJ6PDggbD6D8Ifzr,after dark,yes
After Dark - 2015 Remaster,Tito & Tarantula,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,After Dark - 2015 Remaster | Tito & Tarantula | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/6CvoLme4xu7hBmZi79rvR2,after dark,yes
A Lonely Night,The Weeknd,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,A Lonely Night | The Weeknd | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/0ifooM33X1iBxVYyOkSbXW,lonely night,yes
Lonely Night in London Town,Reuben Larkin,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Lonely Night in London Town | Reuben Larkin | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1Xs9EKJphBQVqZIA3UYbU4,lonely night,yes
Lonely Nights,"Hollow Coves, Priscilla Ahn",,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,"Lonely Nights | Hollow Coves, Priscilla Ahn | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist",night-drive existentialist,https://open.spotify.com/track/1NDRPRFMVnmjqfyfokw2Kq,lonely night,yes
Lonely Night,WALKMN,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Lonely Night | WALKMN | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1VRt8lQUdJwNGlsMfaJxKU,lonely night,yes
Lonely Nights,LEISURE,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Lonely Nights | LEISURE | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/1SJ7eKG6Ha5opLNxlXXvwa,lonely night,yes
Lonely Nights,"Dj Jfk, DJ Rosso",,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,"Lonely Nights | Dj Jfk, DJ Rosso | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist",night-drive existentialist,https://open.spotify.com/track/45waoXO79P6d10WSzDW6lb,lonely night,yes
lonely nights,butterfli,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,lonely nights | butterfli | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/02oyJrGlvHQ4sf7obYMJJk,lonely night,yes
Lonely Night,Magnum,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Lonely Night | Magnum | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/5GDvXZQ4hUTbPitYbJxb8Z,lonely night,yes
LONELY NIGHT 2006,Helena,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,LONELY NIGHT 2006 | Helena | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/42QD99sntDWNmT0Sg2V54l,lonely night,yes
Lonely Night In The Park,Bruce Springsteen,,,,,,,,,,,,,,,,,,,,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,Lonely Night In The Park | Bruce Springsteen | dark synth; nocturnal; detached; atmospheric; introspective | driving or walking alone at night | night-drive existentialist,night-drive existentialist,https://open.spotify.com/track/4XHstWlKuxTfhs5DRTASi6,lonely night,yes
Melancholic,Lova Edman,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Melancholic | Lova Edman | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2WhZOe4o1DiPbfA8HhtTjV,melancholic indie,yes
Melancholic,Maanu,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Melancholic | Maanu | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/5mVKt7lhzXgd2ObfwTICqA,melancholic indie,yes
Melancholic Paradise,Tokio Hotel,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Melancholic Paradise | Tokio Hotel | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/3YISnCr0jpI5MFgrErJid5,melancholic indie,yes
melancholic tears,"wenszy, User116",,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"melancholic tears | wenszy, User116 | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/52yS2ctfdep5pm0N8T9k7E,melancholic indie,yes
Sceptic Heart,"Black Red Gold, Freddie Dickson",,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"Sceptic Heart | Black Red Gold, Freddie Dickson | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/7EkzHrqXo5nWVD9SPrygre,melancholic indie,yes
melancholic distress,avalon,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic distress | avalon | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2xSN6nmngUItXE5yvfK22O,melancholic indie,yes
If I Were to Love You,Johan Örjansson,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,If I Were to Love You | Johan Örjansson | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/0J7ZHF9mbBylDb8GCDZeiq,melancholic indie,yes
Honey Pie,Johan Örjansson,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Honey Pie | Johan Örjansson | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/6zVHCX8KcOKuCMJTVvxipc,melancholic indie,yes
Berget,Dina Ögon,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Berget | Dina Ögon | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/7gdRvpMZATkoCadNtNDZyH,melancholic indie,yes
The Lonely Example,GRAZER,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,The Lonely Example | GRAZER | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/114GqX21DVxeHHQW7gmRF3,melancholic indie,yes
Cry,Cigarettes After Sex,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Cry | Cigarettes After Sex | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/7mDTvYD2ieE4Q28XFziMfJ,sad indie,yes
i walk this earth all by myself,EKKSTACY,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,i walk this earth all by myself | EKKSTACY | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/6oofvZ4K8vBHnCT1oKERcd,sad indie,yes
To Build A Home,"The Cinematic Orchestra, Patrick Watson",,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"To Build A Home | The Cinematic Orchestra, Patrick Watson | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/54KFQB6N4pn926IUUYZGzK,sad indie,yes
Stolen Dance,Milky Chance,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Stolen Dance | Milky Chance | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/34xGLuxM0rkxhCVyMSqwJO,sad indie,yes
Sad Eyes - Studio Outtake - 1990,Bruce Springsteen,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Sad Eyes - Studio Outtake - 1990 | Bruce Springsteen | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/29b70iOlgRkYQ8ZzINZXph,sad indie,yes
i was all over her,salvia palth,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,i was all over her | salvia palth | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/6mSnSuOhgHHohqeBw76jRV,sad indie,yes
"Sad Song - Mauldeth Road West Demo, Nov '92",Oasis,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"Sad Song - Mauldeth Road West Demo, Nov '92 | Oasis | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/52T65lyjsgArtoojwttcvU,sad indie,yes
Flashed Junk Mind,Milky Chance,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Flashed Junk Mind | Milky Chance | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2D85QAziPXN1KMIW50NPpl,sad indie,yes
Sadness As A Gift,Adrianne Lenker,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Sadness As A Gift | Adrianne Lenker | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/1UpXhetX1s5OXTY5fRjWvu,sad indie,yes
Wish,"Hannes, waterbaby",,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"Wish | Hannes, waterbaby | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/3Ecdt1wnmcQH7AbGMe8VA7,sad indie,yes
Nostalgia's Lie,Sam Fender,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nostalgia's Lie | Sam Fender | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/10MJWoKUV6AthUYR323MqB,indie nostalgia,yes
Paper Planes,M.I.A.,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Paper Planes | M.I.A. | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/1ixbwbeBi5ufN4noUKmW5a,indie nostalgia,yes
Nostalgia Burns,Siiga,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nostalgia Burns | Siiga | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2Ocom8iNVFNuhGtSGX6sv0,indie nostalgia,yes
Nostalgia,Schur,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nostalgia | Schur | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2UQXsmNOxIRf8zNPR5exFd,indie nostalgia,yes
Nack Nostalgia,Royel Otis,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nack Nostalgia | Royel Otis | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/5MAKcQ6f6QvqZE21KD2AW5,indie nostalgia,yes
