song_title,artist,spotify_url,custom_mood_tags,listener_context,archetype,seed_query,weak_label
After Dark x Sweater Weather,mikeeysmind,https://open.spotify.com/track/3RnaEjqlmhWxj9cdNMo8lT,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
(Åh) När ni tar saken i egna händer,After Dark,https://open.spotify.com/track/4WXnFwrGkrGYzwCImeuob6,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
After Dark,Noah Rinker,https://open.spotify.com/track/4IC6lmN30FLj7hRGAo9qom,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
After Dark x Sweater Weather,mikeeysmind,https://open.spotify.com/track/05WC9MzJ6PDggbD6D8Ifzr,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
After Dark - 2015 Remaster,Tito & Tarantula,https://open.spotify.com/track/6CvoLme4xu7hBmZi79rvR2,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,after dark,yes
A Lonely Night,The Weeknd,https://open.spotify.com/track/0ifooM33X1iBxVYyOkSbXW,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Night in London Town,Reuben Larkin,https://open.spotify.com/track/1Xs9EKJphBQVqZIA3UYbU4,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Nights,"Hollow Coves, Priscilla Ahn",https://open.spotify.com/track/1NDRPRFMVnmjqfyfokw2Kq,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Night,WALKMN,https://open.spotify.com/track/1VRt8lQUdJwNGlsMfaJxKU,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Nights,LEISURE,https://open.spotify.com/track/1SJ7eKG6Ha5opLNxlXXvwa,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Nights,"Dj Jfk, DJ Rosso",https://open.spotify.com/track/45waoXO79P6d10WSzDW6lb,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
lonely nights,butterfli,https://open.spotify.com/track/02oyJrGlvHQ4sf7obYMJJk,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Night,Magnum,https://open.spotify.com/track/5GDvXZQ4hUTbPitYbJxb8Z,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
LONELY NIGHT 2006,Helena,https://open.spotify.com/track/42QD99sntDWNmT0Sg2V54l,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Lonely Night In The Park,Bruce Springsteen,https://open.spotify.com/track/4XHstWlKuxTfhs5DRTASi6,dark synth; nocturnal; detached; atmospheric; introspective,driving or walking alone at night,night-drive existentialist,lonely night,yes
Melancholic,Lova Edman,https://open.spotify.com/track/2WhZOe4o1DiPbfA8HhtTjV,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
Melancholic,Maanu,https://open.spotify.com/track/5mVKt7lhzXgd2ObfwTICqA,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
Melancholic Paradise,Tokio Hotel,https://open.spotify.com/track/3YISnCr0jpI5MFgrErJid5,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
melancholic tears,"wenszy, User116",https://open.spotify.com/track/52yS2ctfdep5pm0N8T9k7E,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
Sceptic Heart,"Black Red Gold, Freddie Dickson",https://open.spotify.com/track/7EkzHrqXo5nWVD9SPrygre,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
melancholic distress,avalon,https://open.spotify.com/track/2xSN6nmngUItXE5yvfK22O,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
If I Were to Love You,Johan Örjansson,https://open.spotify.com/track/0J7ZHF9mbBylDb8GCDZeiq,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
Honey Pie,Johan Örjansson,https://open.spotify.com/track/6zVHCX8KcOKuCMJTVvxipc,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
Berget,Dina Ögon,https://open.spotify.com/track/7gdRvpMZATkoCadNtNDZyH,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
The Lonely Example,GRAZER,https://open.spotify.com/track/114GqX21DVxeHHQW7gmRF3,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,melancholic indie,yes
Cry,Cigarettes After Sex,https://open.spotify.com/track/7mDTvYD2ieE4Q28XFziMfJ,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
i walk this earth all by myself,EKKSTACY,https://open.spotify.com/track/6oofvZ4K8vBHnCT1oKERcd,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
To Build A Home,"The Cinematic Orchestra, Patrick Watson",https://open.spotify.com/track/54KFQB6N4pn926IUUYZGzK,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
Stolen Dance,Milky Chance,https://open.spotify.com/track/34xGLuxM0rkxhCVyMSqwJO,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
Sad Eyes - Studio Outtake - 1990,Bruce Springsteen,https://open.spotify.com/track/29b70iOlgRkYQ8ZzINZXph,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
i was all over her,salvia palth,https://open.spotify.com/track/6mSnSuOhgHHohqeBw76jRV,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
"Sad Song - Mauldeth Road West Demo, Nov '92",Oasis,https://open.spotify.com/track/52T65lyjsgArtoojwttcvU,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
Flashed Junk Mind,Milky Chance,https://open.spotify.com/track/2D85QAziPXN1KMIW50NPpl,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
Sadness As A Gift,Adrianne Lenker,https://open.spotify.com/track/1UpXhetX1s5OXTY5fRjWvu,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
Wish,"Hannes, waterbaby",https://open.spotify.com/track/3Ecdt1wnmcQH7AbGMe8VA7,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,sad indie,yes
Nostalgia's Lie,Sam Fender,https://open.spotify.com/track/10MJWoKUV6AthUYR323MqB,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Paper Planes,M.I.A.,https://open.spotify.com/track/1ixbwbeBi5ufN4noUKmW5a,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Nostalgia Burns,Siiga,https://open.spotify.com/track/2Ocom8iNVFNuhGtSGX6sv0,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Nostalgia,Schur,https://open.spotify.com/track/2UQXsmNOxIRf8zNPR5exFd,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Nack Nostalgia,Royel Otis,https://open.spotify.com/track/5MAKcQ6f6QvqZE21KD2AW5,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Nostalgia Seed,GRAZER,https://open.spotify.com/track/55CpHDKQFVdtnRMGeFwTID,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Nostalgia,Harvey Causon,https://open.spotify.com/track/4VKUv9cqALqSsjhIqscwd0,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Nostalgia Burns,Siiga,https://open.spotify.com/track/6NIDJySaFTjueeke9eK0Eg,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Vanilla Twilight,Owl City,https://open.spotify.com/track/0vCTQcxSGAgjHaiAsIANKn,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
Cardboard Crowns,Faceless Strangers,https://open.spotify.com/track/03FJ3rwf1kVVqaO2aVKQCa,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,indie nostalgia,yes
SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
A Drop in the Ocean,Ron Pope,https://open.spotify.com/track/5JDcQAztvZTIkrWoZihgvC,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
YKWIM?,Yot Club,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Bubble Gum,Clairo,https://open.spotify.com/track/3zksbXteOCeSusJ5Xltr3t,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Sad Sad Sad - Remastered,The Rolling Stones,https://open.spotify.com/track/7FADg5WNyvzaVtMhMpfW0X,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
For The Love of $,Chris Travis,https://open.spotify.com/track/0Fvky39ZDwf9sCUqnrpqnU,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Love has struck my Heart,리피트,https://open.spotify.com/track/67sgNfpWS6dAZl40yJD5RG,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Stability,Camo Da Cool,https://open.spotify.com/track/5tlymW7H4n1P2IACoN7VZi,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Stability,Camo Da Cool,https://open.spotify.com/track/1RVArewufhF79tR0U9bdrJ,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bedroom pop sad,yes
Bittersweet,Dopamine,https://open.spotify.com/track/2MZCqlpAVsvCM3cJHWokjm,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bitter Sweet Symphony - Remastered 2016,The Verve,https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
bittersweet,fenix,https://open.spotify.com/track/4zBJfimNoTSdqRNykhepfh,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bittersweet,Matilda Mann,https://open.spotify.com/track/1qwb32B32x1JruBLIA09qB,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bittersweet,Culture Wars,https://open.spotify.com/track/7cIZhtKA8T3KRVU7KGqMoz,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bittersweet,Axel Ruby,https://open.spotify.com/track/6oNZ4cYB5TEKxBeXelmLjj,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bittersweet,Culture Wars,https://open.spotify.com/track/6moUGZkEv5lSwUNfjUk180,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bittersweet (feat. LeeHi),"WONWOO, MINGYU, LEEHI",https://open.spotify.com/track/347PJwH4XqRbeaKaIW9sX3,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Bittersweet,Axel Ruby,https://open.spotify.com/track/0O2nIuvnqgehLeqxeJAAgR,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
"Bittersweet, TN","Kevin Morby, Erin Rae",https://open.spotify.com/track/0merkJ9dgvkemPaR3urDWs,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,melancholic indie nostalgia,bittersweet indie,yes
Nostalgia,Section303,https://open.spotify.com/track/6yeIdMq9nowvqdhWZoor9i,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Nostalgia,"Ace Marino, Jinxx",https://open.spotify.com/track/04BeDTkosBN0JlCfImmSXU,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Nostalgia,Elysium Sound,https://open.spotify.com/track/7LKkwfkb9EjiSA1ylXaAbn,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Nostalgie,Atrey,https://open.spotify.com/track/7yO4fWo877xXUlizCP2Xn0,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Nostalgia,Downtown Binary,https://open.spotify.com/track/2NHvZbA01EEtKkiPv9sHLv,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Not Now,DJ EIGHTIES NOSTALGIA,https://open.spotify.com/track/2ZMJd3iYEjWv59g7qxLCIk,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Nostalgia,"W O L F C L U B, Cadenti",https://open.spotify.com/track/0lcRaM8grtoUoHCyFKeGq4,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Moonwalker,The Northern Lights,https://open.spotify.com/track/7qTp6XCW4h6oBC6SfL7emi,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Teenage Wasteland,The Northern Lights,https://open.spotify.com/track/2hrI8gy6SUZql1aL3Q4S11,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
So Empty,Vioflesh,https://open.spotify.com/track/5Kas4nFHepP6LIEDTJnijb,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,synthwave nostalgia,yes
Dreamy,Meladonica,https://open.spotify.com/track/75sldKDaIgIhQlqSCzXNtq,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Dreamy Cinematic Slideshow,penguinmusic,https://open.spotify.com/track/1m1o6Ojc5ku5GGj4i76XOl,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
DREAMY!,BLL4X,https://open.spotify.com/track/4gnD6X7qDpQrcRXEGTyWh5,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Dreamy Vibes,Calmly,https://open.spotify.com/track/6kLJb64QNhfKQG77wA8UZt,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Dreamy Runaway,The Halfside,https://open.spotify.com/track/5IwXZKe3O1XpkHGCaW1nuj,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Drömmarnas Eko,Avslappning Musik Akademi,https://open.spotify.com/track/5MG8t21Rk2xdKXdreXqjHg,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
WINGS - STUTTER,"STUTTER TECHNO, dreamy",https://open.spotify.com/track/5xbVB7jFHEFXGou72wrrTo,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Dreamy Whispers,Calmly,https://open.spotify.com/track/3mFw10m5toMI0NN1TZGVDv,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Dreamy Boy,Jordan Irwin,https://open.spotify.com/track/5kysdcP5iSRBEmLx5scBWR,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Dreamy Smiles,The Dining Rooms,https://open.spotify.com/track/1mDKD8LzNTUgCQHgVCHDZ2,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,dreamy electronic,yes
Vaporwave,Ketch&Aker,https://open.spotify.com/track/4rIuno1JU2URGgpNwUQ76x,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Resonance,Home,https://open.spotify.com/track/2NHkwSwm6C6eAX3z6xm7Uy,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Vaporwave,Retrowave Beats,https://open.spotify.com/track/4sZRDxBt9j0QTaIDfhQV8T,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Vaporwave,Astrancer,https://open.spotify.com/track/7fqJcDG1YjJdy8VUVIyGcE,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Vaporwave,Nightflyer,https://open.spotify.com/track/0SHf9hpQsMUPj0FLjpJfuX,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Vaporwave,Oblique Occasions,https://open.spotify.com/track/0TUdxjQk6My1auDIEvdGV7,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Warmpop,"ESPRIT 空想, George Clanton",https://open.spotify.com/track/0Ubp7kMZ6MWZIL8qkloYub,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
SimpsonWave1995,FrankJavCee,https://open.spotify.com/track/0qqRNnwh86N1XBV94GVgQN,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
Resonance - Slowed & Reverb,noturgf,https://open.spotify.com/track/72qSU1mTkBpwokctNf6KNv,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
A Brighter Future,Resonance Hub,https://open.spotify.com/track/76v8yYCzBkuv7efXLQTU5A,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,vaporwave,yes
